ticker,snapshot_timestamp,market_data_mode,market_data_type_code,expiry_date,strike,option_type,conid,local_symbol,trading_class,exchange,bid,ask,last,mid,mark,close,volume,open_interest,implied_volatility,historical_volatility,delta,gamma,theta,vega,option_price,pv_dividend,under_price,source,warnings,missing_fields
PBI,2026-04-22T15:54:11Z,delayed,3.0,2026-05-15,6.0,put,0,,PBI,SMART,,,,,,,,,0.9426399816169027,,-1.7702104071697092e-05,0.006323024853587934,-0.08002901365377488,0.0062518813332856915,1.5185891178442402e-05,0.0,15.34000015258789,ibkr,"['Delayed field availability was partial for this request: missing ask, bid, last, open_interest.', ""Part of requested market data requires additional subscription for API. See link in 'Market Data Connections' dialog for more details.PBI NYSE/TOP/ALL"", 'Requested market data is not subscribed. Displaying delayed market data.']","['bid', 'ask', 'last', 'open_interest']"
PBI,2026-04-22T15:54:11Z,delayed,3.0,2026-05-15,7.0,call,0,,PBI,SMART,,,,,,,,,2.5485273988075665,,0.999958566519299,0.009519919083729934,-0.07528083543247945,0.006718538777166216,8.361153123886576,0.0,15.34000015258789,ibkr,"['Delayed field availability was partial for this request: missing ask, bid, last, open_interest.', ""Part of requested market data requires additional subscription for API. See link in 'Market Data Connections' dialog for more details.PBI NYSE/TOP/ALL"", 'Requested market data is not subscribed. Displaying delayed market data.']","['bid', 'ask', 'last', 'open_interest']"
PBI,2026-04-22T15:54:11Z,delayed,3.0,2026-05-15,7.0,put,0,,PBI,SMART,,,,,,,,,0.8262397063581157,,-4.1476411034993125e-05,0.012357449805668838,-0.04320493604198069,0.006355470858476431,3.226572020370266e-05,0.0,15.34000015258789,ibkr,"['Delayed field availability was partial for this request: missing ask, bid, last, open_interest.', ""Part of requested market data requires additional subscription for API. See link in 'Market Data Connections' dialog for more details.PBI NYSE/TOP/ALL"", 'Requested market data is not subscribed. Displaying delayed market data.']","['bid', 'ask', 'last', 'open_interest']"
PBI,2026-04-22T15:54:11Z,delayed,3.0,2026-05-15,8.0,call,0,,PBI,SMART,,,,,,,,,2.265835785939202,,0.9998674244340237,0.012177939415492972,-0.07712469726210561,0.00841851061435861,7.363664311045479,0.0,15.34000015258789,ibkr,"['Delayed field availability was partial for this request: missing ask, bid, last, open_interest.', ""Part of requested market data requires additional subscription for API. See link in 'Market Data Connections' dialog for more details.PBI NYSE/TOP/ALL"", 'Requested market data is not subscribed. Displaying delayed market data.']","['bid', 'ask', 'last', 'open_interest']"
PBI,2026-04-22T15:54:11Z,delayed,3.0,2026-05-15,8.0,put,0,,PBI,SMART,,,,,,,,,0.7369227720819576,,-0.0001326957390289574,0.016200724881522858,-0.042027859629446544,0.00694477476870603,9.764411445002158e-05,0.0,15.34000015258789,ibkr,"['Delayed field availability was partial for this request: missing ask, bid, last, open_interest.', ""Part of requested market data requires additional subscription for API. See link in 'Market Data Connections' dialog for more details.PBI NYSE/TOP/ALL"", 'Requested market data is not subscribed. Displaying delayed market data.']","['bid', 'ask', 'last', 'open_interest']"
PBI,2026-04-22T15:54:11Z,delayed,3.0,2026-05-15,9.0,call,0,,PBI,SMART,,,,,,,,,1.9296656788315654,,0.9994393181281664,0.015709582892799747,-0.07518123745947147,0.009265552652095721,6.366424940854512,0.0,15.34000015258789,ibkr,"['Delayed field availability was partial for this request: missing ask, bid, last, open_interest.', ""Part of requested market data requires additional subscription for API. See link in 'Market Data Connections' dialog for more details.PBI NYSE/TOP/ALL"", 'Requested market data is not subscribed. Displaying delayed market data.']","['bid', 'ask', 'last', 'open_interest']"
PBI,2026-04-22T15:54:11Z,delayed,3.0,2026-05-15,9.0,put,0,,PBI,SMART,,,,,,,,,0.6755097336153071,,-0.0005613332189428408,0.021768332506323908,-0.03124763756323475,0.007522097677278183,0.000412790513147164,0.0,15.34000015258789,ibkr,"['Delayed field availability was partial for this request: missing ask, bid, last, open_interest.', ""Part of requested market data requires additional subscription for API. See link in 'Market Data Connections' dialog for more details.PBI NYSE/TOP/ALL"", 'Requested market data is not subscribed. Displaying delayed market data.']","['bid', 'ask', 'last', 'open_interest']"
PBI,2026-04-22T15:54:11Z,delayed,3.0,2026-05-15,10.0,call,0,,PBI,SMART,,,,,,,,,1.481080471688021,,0.9971446677538653,0.020033229610403974,-0.0725476648903863,0.01004619747148272,5.370707354256102,0.0,15.34000015258789,ibkr,"['Delayed field availability was partial for this request: missing ask, bid, last, open_interest.', ""Part of requested market data requires additional subscription for API. See link in 'Market Data Connections' dialog for more details.PBI NYSE/TOP/ALL"", 'Requested market data is not subscribed. Displaying delayed market data.']","['bid', 'ask', 'last', 'open_interest']"
PBI,2026-04-22T15:54:11Z,delayed,3.0,2026-05-15,10.0,put,0,,PBI,SMART,,,,,,,,,0.6410068728965534,,-0.0028583984270875848,0.028913513021629558,-0.027644269409508315,0.008069458986439682,0.00225113810670647,0.0,15.34000015258789,ibkr,"['Delayed field availability was partial for this request: missing ask, bid, last, open_interest.', ""Part of requested market data requires additional subscription for API. See link in 'Market Data Connections' dialog for more details.PBI NYSE/TOP/ALL"", 'Requested market data is not subscribed. Displaying delayed market data.']","['bid', 'ask', 'last', 'open_interest']"
PBI,2026-04-22T15:54:11Z,delayed,3.0,2026-05-15,11.0,call,0,,PBI,SMART,,,,,,,,,1.5332497468271375,,0.9863975901582793,0.025428750826563484,-0.06941631366735504,0.010771088148538333,4.383179114726988,0.0,15.34000015258789,ibkr,"['Delayed field availability was partial for this request: missing ask, bid, last, open_interest.', ""Part of requested market data requires additional subscription for API. See link in 'Market Data Connections' dialog for more details.PBI NYSE/TOP/ALL"", 'Requested market data is not subscribed. Displaying delayed market data.']","['bid', 'ask', 'last', 'open_interest']"
