strike,moneyness,bid,mid,ask,last,change,pct_change,volume,open_interest,oi_change,iv,delta,type,last_trade
1.0,,,,,,,,,,,8.637330720489565,0.9969897174588618,call,
1.0,,,,,,,,,,,1.3212524261001057,-1.6960897254046705e-06,put,
2.0,,,,,,,,,,,4.962121405857906,0.9799788448784694,call,
2.0,,,,,,,,,,,1.1152320736913466,-2.3635072084073878e-05,put,
3.0,,,,,,,,,,,3.7210586762434263,0.9649276481107031,call,
3.0,,,,,,,,,,,3.803671507778082,-0.03518643091088797,put,
4.0,,,,,,,,,,,3.2857630654764773,0.9499405150507432,call,
4.0,,,,,,,,,,,0.8237795150195357,-0.00016827764182156236,put,
5.0,,,,,,,,,,,1.9943977778282598,0.9999901714873947,call,
5.0,,,,,,,,,,,0.7589083318252404,-0.0005672128434668829,put,
6.0,,,,,,,,,,,1.749020004430856,0.9998626474814047,call,
6.0,,,,,,,,,,,0.7081702532925641,-0.0017867727794741966,put,
7.0,,,,,,,,,,,1.790811790698396,0.9990937767826468,call,
7.0,,,,,,,,,,,0.6637400944316948,-0.004476960734026281,put,
8.0,,,,,,,,,,,1.3263140885137399,0.9959784956418358,call,
8.0,,,,,,,,,,,0.6235105934772275,-0.010532156698622324,put,
9.0,,,,,,,,,,,0.5862410110513417,0.9874467446482091,call,
9.0,,,,,,,,,,,0.5862410110513417,-0.02159823870738174,put,
10.0,,,,,,,,,,,0.9188059979755185,0.9687033161433356,call,
10.0,,,,,,,,,,,0.5518936448887829,-0.04136574622565994,put,
11.0,,,,,,,,,,,0.521651860139062,0.9339165174062373,call,
11.0,,,,,,,,,,,0.7112858342406696,-0.07485141102416219,put,
12.0,,,,,,,,,,,0.3086406014055408,0.879843584466311,call,
12.0,,,,,,,,,,,0.5040139377674031,-0.12635193490764662,put,
13.0,,,,,,,,,,,0.45851137551775273,0.8013212759952906,call,
13.0,,,,,,,,,,,0.47514199144375896,-0.20247896320003222,put,
14.0,,,,,,,,,,,0.45017024742369494,0.7017936954353647,call,
14.0,,,,,,,,,,,0.45467251252008617,-0.3015931186373353,put,
15.0,,,,,,,,,,,0.4210090548975825,0.585923322376899,call,
15.0,,,,,,,,,,,0.4309265773979267,-0.4186283794281487,put,
16.0,,,,,,,,,,,0.4184779422533876,0.46676033816452583,call,
16.0,,,,,,,,,,,0.544206142471505,-0.5402085740070248,put,
17.0,,,,,,,,,,,0.430653540220903,0.35817835125911174,call,
17.0,,,,,,,,,,,0.5423007706802956,-0.6515320462581279,put,
18.0,,,,,,,,,,,0.4320673054774137,0.26848333014041764,call,
18.0,,,,,,,,,,,0.45065067888308646,-0.7438669634520033,put,
19.0,,,,,,,,,,,0.43962492461972247,0.20126601950300937,call,
19.0,,,,,,,,,,,0.4632377331381558,-0.8128794400792007,put,
20.0,,,,,,,,,,,0.44527112596107526,0.15483356509127572,call,
20.0,,,,,,,,,,,0.4813424539475145,-0.8601389776027871,put,
21.0,,,,,,,,,,,0.5727451194462861,0.12412569670021593,call,
21.0,,,,,,,,,,,0.4458249020994854,-0.8909025880854398,put,
22.0,,,,,,,,,,,0.5335768212039408,0.10317984276525013,call,
22.0,,,,,,,,,,,0.4965648368157766,-0.9113758023108723,put,
23.0,,,,,,,,,,,0.5677426823888198,0.09196027579085657,call,
23.0,,,,,,,,,,,0.6308839257122633,-0.9221401004624721,put,
24.0,,,,,,,,,,,0.60720027344436,0.08531312248962247,call,
24.0,,,,,,,,,,,0.5911587113384926,-0.9282243688984337,put,
25.0,,,,,,,,,,,0.6518592323169237,0.08270170793025794,call,
25.0,,,,,,,,,,,0.6344552513248823,-0.9302874868314606,put,
26.0,,,,,,,,,,,0.7017584246934865,0.08359204417456527,call,
26.0,,,,,,,,,,,0.6747074578134741,-0.928925330695798,put,
27.0,,,,,,,,,,,0.7570824108387469,0.0875053356384441,call,
27.0,,,,,,,,,,,0.7134544504894312,-0.9246088976691241,put,
28.0,,,,,,,,,,,0.8180868421025136,0.0940050727986555,call,
28.0,,,,,,,,,,,0.7508116813747391,-0.9177185574021417,put,
29.0,,,,,,,,,,,0.8849954109712279,0.1026702702746792,call,
29.0,,,,,,,,,,,0.7868762031489323,-0.9086267355651689,put,
