Time,Open,High,Low,Latest,Change,%Change,Volume
2025-01-10,7.08,7.13,6.94,7.08,-0.18,-2.48%,1109000
2025-01-08,7.12,7.26,7.01,7.26,0.07,+0.97%,1598500
2025-01-07,7.6,7.67,7.105,7.19,-0.34,-4.52%,1809300
2025-01-06,7.38,7.68,7.355,7.53,0.2,+2.73%,1788900
2025-01-03,7.23,7.34,7.15,7.33,0.11,+1.52%,2398700
2025-01-02,7.34,7.4,7.155,7.22,-0.02,-0.28%,1680600
2024-12-31,7.29,7.425,7.24,7.24,0,0.00%,1447800
2024-12-30,7.21,7.3101,6.93,7.24,-0.05,-0.69%,1597400
2024-12-27,7.26,7.35,7.175,7.29,-0.04,-0.55%,2001000
2024-12-26,7.27,7.39,7.2,7.33,-0.03,-0.41%,1364200
2024-12-24,7.29,7.37,7.175,7.36,0.09,+1.24%,802200
2024-12-23,7.4,7.46,7.14,7.27,0.04,+0.55%,1564800
2024-12-20,6.97,7.44,6.95,7.23,0.08,+1.12%,6310800
2024-12-19,7.36,7.505,7.12,7.15,-0.11,-1.52%,2508700
2024-12-18,7.7,7.7853,7.16,7.26,-0.41,-5.35%,2843200
2024-12-17,7.99,7.99,7.62,7.67,-0.28,-3.52%,1678900
2024-12-16,7.67,8.005,7.66,7.95,0.24,+3.11%,2064300
2024-12-13,7.96,7.99,7.555,7.71,-0.22,-2.77%,2029100
2024-12-12,7.9,8,7.815,7.93,-0.02,-0.25%,1011100
2024-12-11,7.97,8.05,7.88,7.95,0.1,+1.27%,2402600
2024-12-10,7.82,7.975,7.77,7.85,-0.03,-0.38%,2044500
2024-12-09,7.88,7.95,7.78,7.88,0.06,+0.77%,1046400
2024-12-06,7.86,7.925,7.715,7.82,0.04,+0.51%,1459600
2024-12-05,7.88,7.91,7.63,7.78,-0.12,-1.52%,1703500
2024-12-04,7.86,8.12,7.7785,7.9,0.1,+1.28%,1415700
2024-12-03,8.05,8.16,7.73,7.8,-0.25,-3.11%,1378200
2024-12-02,8.09,8.1,7.92,8.05,-0.01,-0.12%,1786600
2024-11-29,8.19,8.23,8.03,8.06,-0.08,-0.98%,914000
2024-11-27,8.24,8.3,8.0601,8.14,-0.06,-0.73%,1005700
2024-11-26,8.16,8.27,8.08,8.2,0.04,+0.49%,1648730
2024-11-25,8.25,8.34,8.11,8.16,0.11,+1.37%,2118305
2024-11-22,7.73,8.09,7.66,8.05,0.36,+4.68%,2425000
2024-11-21,7.5,7.7,7.39,7.69,0.18,+2.40%,1653400
2024-11-20,7.77,7.82,7.49,7.51,-0.25,-3.22%,1069200
2024-11-19,7.27,7.77,7.21,7.76,0.47,+6.45%,1869700
2024-11-18,7.22,7.39,7.1316,7.29,0.04,+0.55%,1508100
2024-11-15,7.29,7.42,7.175,7.25,-0.01,-0.14%,1655900
2024-11-14,7.47,7.48,7.2,7.26,-0.23,-3.07%,1928300
2024-11-13,7.8,7.9,7.44,7.49,-0.17,-2.22%,1519000
2024-11-12,7.93,7.9738,7.58,7.66,-0.33,-4.13%,2079600
2024-11-11,7.73,8.1,7.655,7.99,0.41,+5.41%,3975200
2024-11-08,8.78,8.8,7.455,7.58,-0.47,-5.84%,4480800
2024-11-07,7.87,8.085,7.8,8.05,0.18,+2.29%,3780900
2024-11-06,7.8,7.95,7.66,7.87,0.37,+4.93%,2549400
2024-11-05,7.48,7.57,7.45,7.5,0.02,+0.27%,2556000
2024-11-04,7.14,7.545,7.1,7.48,0.28,+3.89%,2376800
2024-11-01,7.3,7.4,7.14,7.2,-0.01,-0.14%,1430800
2024-10-31,7.27,7.335,7.09,7.21,-0.16,-2.17%,1904500
2024-10-30,7.14,7.42,7.14,7.37,0.11,+1.52%,1536700
2024-10-29,7.25,7.31,7.13,7.26,0.05,+0.69%,1186500
2024-10-28,7.18,7.25,7.05,7.21,0.11,+1.55%,1371600
2024-10-25,7.3,7.4,6.9801,7.1,-0.15,-2.07%,2031200
2024-10-24,7.11,7.25,7.04,7.25,0.18,+2.55%,1584300
2024-10-23,7,7.14,6.98,7.07,-0.03,-0.42%,1871400
2024-10-22,6.99,7.13,6.885,7.1,0.08,+1.14%,1338800
2024-10-21,7.16,7.23,6.96,7.02,-0.13,-1.82%,1365900
2024-10-18,7.08,7.245,6.97,7.15,0.09,+1.27%,1391200
2024-10-17,7.12,7.12,6.98,7.06,-0.03,-0.42%,1001600
2024-10-16,7.03,7.1499,6.96,7.09,0.13,+1.87%,1213200
2024-10-15,6.98,7.08,6.89,6.96,-0.08,-1.14%,1525300
2024-10-14,7.12,7.18,7,7.04,-0.09,-1.26%,544400
2024-10-11,6.92,7.18,6.92,7.13,0.21,+3.03%,1019800
2024-10-10,6.76,6.92,6.66,6.92,0.07,+1.02%,834300
2024-10-09,6.8,6.96,6.75,6.85,0.01,+0.15%,1021500
2024-10-08,6.81,6.88,6.695,6.84,0.1,+1.48%,1104400
2024-10-07,6.88,6.9,6.72,6.74,-0.18,-2.60%,2167200
2024-10-04,6.96,7,6.85,6.92,0.11,+1.62%,841100
2024-10-03,6.75,6.925,6.735,6.81,0.02,+0.29%,962100
2024-10-02,6.77,6.91,6.77,6.79,-0.07,-1.02%,925400
2024-10-01,7.11,7.11,6.7002,6.86,-0.27,-3.79%,1519400
2024-09-30,7.07,7.23,7.04,7.13,0.02,+0.28%,1809600
2024-09-27,7.2,7.265,7.0108,7.11,-0.01,-0.14%,1587300
2024-09-26,7.17,7.225,7.0943,7.12,0.11,+1.57%,1017800
2024-09-25,7.13,7.175,7.01,7.01,-0.15,-2.09%,1145300
2024-09-24,7.11,7.2,7.005,7.16,0.1,+1.42%,1293400
2024-09-23,7.06,7.075,6.92,7.06,0.05,+0.71%,1303100
2024-09-20,7.04,7.1,6.91,7.01,-0.09,-1.27%,4738800
2024-09-19,7.23,7.28,7.06,7.1,0.09,+1.28%,1449800
2024-09-18,6.95,7.23,6.79,7.01,0.1,+1.45%,1578200
2024-09-17,6.71,6.94,6.645,6.91,0.27,+4.07%,2828800
2024-09-16,6.8,6.88,6.615,6.64,-0.15,-2.21%,1562000
2024-09-13,6.77,6.8,6.675,6.79,0.13,+1.95%,1122700
2024-09-12,6.54,6.74,6.47,6.66,0.14,+2.15%,1158000
2024-09-11,6.38,6.565,6.215,6.52,0.08,+1.24%,1491900
2024-09-10,6.48,6.535,6.35,6.44,-0.04,-0.62%,1623900
2024-09-09,6.47,6.68,6.44,6.48,0.04,+0.62%,1548300
2024-09-06,6.65,6.76,6.4,6.44,-0.25,-3.74%,1757400
2024-09-05,6.84,6.93,6.655,6.69,-0.06,-0.89%,764000
2024-09-04,6.74,6.9,6.685,6.75,-0.03,-0.44%,1040000
2024-09-03,6.97,7.03,6.72,6.78,-0.29,-4.10%,2119600
2024-08-30,7.11,7.17,6.955,7.07,0.03,+0.43%,1431100
2024-08-29,7.16,7.18,7.02,7.04,-0.09,-1.26%,1365400
2024-08-28,7.16,7.265,7.055,7.13,-0.08,-1.11%,1040600
2024-08-27,7.17,7.295,7.1003,7.21,-0.03,-0.41%,1042100
2024-08-26,7.41,7.41,7.19,7.24,-0.14,-1.90%,981900
2024-08-23,7.24,7.515,7.18,7.38,0.21,+2.93%,1676900
2024-08-22,7.27,7.35,7.17,7.17,-0.1,-1.38%,1498400
2024-08-21,7.36,7.43,7.13,7.27,0,0.00%,1275400
2024-08-20,7.44,7.505,7.25,7.27,-0.22,-2.94%,1499300
2024-08-19,7.2,7.52,7.2,7.49,0.3,+4.17%,2321100
