Time,Open,High,Low,Latest,Change,%Change,Volume
2024-06-04,17.42,17.42,16.92,17.11,-0.47,-2.67%,813100
2024-06-03,17.5,17.71,17.12,17.58,0.41,+2.39%,1155200
2024-05-31,17.19,17.35,16.74,17.17,0.19,+1.12%,1096600
2024-05-30,17.14,17.8,16.89,16.98,-0.02,-0.12%,2244600
2024-05-29,17.79,17.85,16.86,17,-1.04,-5.76%,1520000
2024-05-28,18.49,18.6156,18.015,18.04,-0.23,-1.26%,1184100
2024-05-24,18.67,18.677,18.24,18.27,-0.29,-1.56%,688600
2024-05-23,19.4,19.58,18.41,18.56,-0.84,-4.33%,820900
2024-05-22,19.17,19.8,18.94,19.4,0.19,+0.99%,1111600
2024-05-21,18.97,19.32,18.87,19.21,0.07,+0.37%,3072500
2024-05-20,19.07,19.36,18.87,19.14,-0.02,-0.10%,525900
2024-05-17,19.13,19.46,18.85,19.16,0.08,+0.42%,778200
2024-05-16,18.95,19.23,18.42,19.08,0.06,+0.32%,965600
2024-05-15,20.34,20.395,18.92,19.02,-1.22,-6.03%,1004200
2024-05-14,20.23,20.54,19.83,20.24,0.46,+2.33%,1221400
2024-05-13,19.98,20.39,19.66,19.78,-0.2,-1.00%,1044300
2024-05-10,20.26,20.39,19.44,19.98,-0.21,-1.04%,714900
2024-05-09,19.53,20.21,19.39,20.19,0.61,+3.12%,899600
2024-05-08,19.18,19.625,18.75,19.58,0.3,+1.56%,1370700
2024-05-07,19.79,20.1,19.27,19.28,-0.62,-3.12%,2244000
2024-05-06,20.5,20.82,19.66,19.9,-0.27,-1.34%,1209800
2024-05-03,20.3,20.49,19.71,20.17,-0.57,-2.75%,1810800
2024-05-02,20.2,20.805,19.79,20.74,0.62,+3.08%,1360800
2024-05-01,20.55,20.83,20.0225,20.12,-0.55,-2.66%,1716200
2024-04-30,21.52,21.6,20.64,20.67,-1.07,-4.92%,986500
2024-04-29,21.43,21.81,21.39,21.74,0.34,+1.59%,679100
2024-04-26,21.03,21.48,20.71,21.4,0.24,+1.13%,851600
