ticker,source,trust,snapshot_date,downloaded_at,contract_symbol,contract_label,option_type,expiration,dte,strike,underlying_price,moneyness,bid,ask,mid,last,volume,open_interest,implied_volatility,iv,iv_rank,iv_percentile,delta,gamma,theta,vega,rho,itm_probability,otm_probability,profit_probability,spread,spread_pct_of_mid,entry_premium_mid,entry_premium_ask,entry_premium_realistic,entry_premium_selected,entry_price_mode,exit_premium_conservative,breakeven_mid,breakeven_ask,barchart_be_bid,barchart_be_ask,barchart_be_mid,moneyness_decimal,moneyness_bucket,links,quality_flags,liquidity_bucket,model_eligible
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,14C May-26,call,2026-05-15,11,14.0,18.07,0.22519999999999998,4.0,4.4,4.2,3.9,209,224,1.1038,1.1038,0.3567,0.51,0.922926,0.04149,-0.022675,0.004506,0.00328,0.9085,0.0915,0.5081,0.40000000000000036,0.09523809523809532,4.2,4.4,4.300000000000001,4.2,mid,4.0,18.2,18.4,18.0,18.4,18.2,0.22519999999999998,itm,,,liquid,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,15C May-26,call,2026-05-15,11,15.0,18.07,0.1699,2.9,3.5,3.2,3.22,2,50,0.9036,0.9036,0.3567,0.51,0.896859,0.063007,-0.023148,0.005603,0.003672,0.8824,0.1176,0.524,0.6000000000000001,0.18750000000000003,3.2,3.5,3.35,3.2,mid,2.9,18.2,18.5,17.9,18.5,18.2,0.1699,itm,,,usable,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,16C May-26,call,2026-05-15,11,16.0,18.07,0.11460000000000001,2.25,2.85,2.55,2.35,5,105,0.8376,0.8376,0.3567,0.51,0.818385,0.100145,-0.031606,0.008254,0.003668,0.7986,0.2014,0.4728,0.6000000000000001,0.23529411764705888,2.55,2.85,2.6999999999999997,2.55,mid,2.25,18.55,18.85,18.25,18.85,18.55,0.11460000000000001,itm,,,usable,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,17C May-26,call,2026-05-15,11,17.0,18.07,0.0592,1.75,1.9,1.83,1.8,99,6266,0.9792000000000001,0.9792000000000001,0.3567,0.51,0.671658,0.117516,-0.050552,0.011321,0.003063,0.6402,0.35979999999999995,0.414,0.1499999999999999,0.08196721311475405,1.83,1.9,1.8675000000000002,1.83,mid,1.75,18.83,18.9,18.75,18.9,18.83,0.0592,itm,,,liquid,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,18C May-26,call,2026-05-15,11,18.0,18.07,0.0039000000000000003,1.1,1.35,1.23,1.29,225,6565,1.0046,1.0046,0.3567,0.51,0.543851,0.125744,-0.056892,0.012427,0.002546,0.5089,0.4911,0.3753,0.25,0.2032520325203252,1.23,1.35,1.2925,1.23,mid,1.1,19.23,19.35,19.1,19.35,19.23,0.0039000000000000003,atm,,,usable,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,19C May-26,call,2026-05-15,11,19.0,18.07,-0.051500000000000004,0.75,0.95,0.85,0.75,188,1122,0.9005,0.9005,0.3567,0.51,0.404473,0.1371,-0.049847,0.012146,0.001972,0.3741,0.6259,0.2848,0.19999999999999996,0.23529411764705876,0.85,0.95,0.8999999999999999,0.85,mid,0.75,19.85,19.95,19.75,19.95,19.85,-0.051500000000000004,otm,,,usable,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,20C May-26,call,2026-05-15,11,20.0,18.07,-0.10679999999999999,0.45,0.65,0.55,0.55,443,3869,0.9812000000000001,0.9812000000000001,0.3567,0.51,0.305186,0.11379,-0.049098,0.010986,0.001493,0.2757,0.7243,0.23379999999999998,0.2,0.36363636363636365,0.55,0.65,0.6000000000000001,0.55,mid,0.45,20.55,20.65,20.45,20.65,20.55,-0.10679999999999999,otm,,wide_spread,thin,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,21C May-26,call,2026-05-15,11,21.0,18.07,-0.16210000000000002,0.2,0.7,0.45,0.33,0,15,1.0927,1.0927,0.3567,0.51,0.243079,0.091295,-0.048832,0.009816,0.001184,0.2141,0.7859,0.1999,0.49999999999999994,1.111111111111111,0.45,0.7,0.575,0.45,mid,0.2,21.45,21.7,21.2,21.7,21.45,-0.16210000000000002,otm,,zero_volume;very_wide_spread,stale_or_wide,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,22C May-26,call,2026-05-15,11,22.0,18.07,-0.2175,0.05,0.5,0.28,0.13,0,27,1.0698999999999999,1.0698999999999999,0.3567,0.51,0.167114,0.074548,-0.038229,0.007849,0.000826,0.1447,0.8553000000000001,0.1419,0.45,1.607142857142857,0.28,0.5,0.3925,0.28,mid,0.05,22.28,22.5,22.05,22.5,22.28,-0.2175,otm,,zero_volume;very_wide_spread,stale_or_wide,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,23C May-26,call,2026-05-15,11,23.0,18.07,-0.2728,0.05,0.4,0.23,0.0,0,0,1.1512,1.1512,0.3567,0.51,0.1343,0.059889,-0.035549,0.006785,0.000662,0.1137,0.8863,0.1116,0.35000000000000003,1.5217391304347827,0.23,0.4,0.3175,0.23,mid,0.05,23.23,23.4,23.05,23.4,23.23,-0.2728,otm,,zero_volume;zero_open_interest;latest_zero;stale_last;very_wide_spread,stale_or_wide,True
