ticker,underlying_conid,fetched_at,market_data_mode,exchange,trading_class,multiplier,expiry_date,strike,option_type,currency,source,warnings,missing_fields
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,125.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,125.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,130.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,130.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,135.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,135.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,140.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,140.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,145.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,145.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,150.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,150.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,155.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,155.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,160.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,160.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,165.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,165.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,170.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,170.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,175.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,175.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,180.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,180.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,185.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,185.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,190.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,190.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,195.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,195.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,200.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,200.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,205.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,205.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,210.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,210.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,212.5,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,212.5,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,215.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,215.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,217.5,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,217.5,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,220.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,220.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,222.5,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,222.5,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,225.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,225.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,227.5,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,227.5,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,230.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,230.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,232.5,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,232.5,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,235.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,235.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,237.5,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,237.5,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,240.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,240.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,242.5,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,242.5,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,245.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,245.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,247.5,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,247.5,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,250.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,250.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,252.5,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,252.5,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,255.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,255.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,257.5,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,257.5,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,260.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,260.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,262.5,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,262.5,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,265.0,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,265.0,put,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,267.5,call,USD,ibkr,[],[]
AAPL,265598,2026-04-17T18:23:46Z,delayed,SMART,AAPL,100,2026-04-17,267.5,put,USD,ibkr,[],[]
