ticker,source,trust,snapshot_date,downloaded_at,contract_symbol,contract_label,option_type,expiration,dte,strike,underlying_price,moneyness,bid,ask,mid,last,volume,open_interest,implied_volatility,iv,iv_rank,iv_percentile,delta,gamma,theta,vega,rho,itm_probability,otm_probability,profit_probability,spread,spread_pct_of_mid,entry_premium_mid,entry_premium_ask,entry_premium_realistic,entry_premium_selected,entry_price_mode,exit_premium_conservative,breakeven_mid,breakeven_ask,barchart_be_bid,barchart_be_ask,barchart_be_mid,moneyness_decimal,moneyness_bucket,links,quality_flags,liquidity_bucket,model_eligible
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,1C Jul-26,call,2026-07-17,74,1.0,15.26,0.9345,13.3,15.7,14.5,14.75,0,0,4.7624,4.7624,0.41869999999999996,0.65,0.988631,0.000791,-0.005142,0.001727,0.000883,0.8981,0.10189999999999999,0.5121,2.3999999999999986,0.16551724137931026,14.5,15.7,15.1,14.5,mid,13.3,15.5,16.7,14.3,16.7,15.5,0.9345,deep_itm,,zero_volume;zero_open_interest;high_iv,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,2C Jul-26,call,2026-07-17,74,2.0,15.26,0.8689,12.3,14.7,13.5,0.0,0,0,3.3222000000000005,3.3222000000000005,0.41869999999999996,0.65,0.980607,0.001903,-0.006152,0.002918,0.002146,0.9128000000000001,0.0872,0.5173,2.3999999999999986,0.17777777777777767,13.5,14.7,14.1,13.5,mid,12.3,15.5,16.7,14.3,16.7,15.5,0.8689,deep_itm,,zero_volume;zero_open_interest;latest_zero;stale_last;high_iv,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,3C Jul-26,call,2026-07-17,74,3.0,15.26,0.8034,11.3,13.7,12.5,0.0,0,0,2.6159,2.6159,0.41869999999999996,0.65,0.973762,0.003184,-0.006457,0.003859,0.003434,0.9164,0.0836,0.522,2.3999999999999986,0.1919999999999999,12.5,13.7,13.1,12.5,mid,11.3,15.5,16.7,14.3,16.7,15.5,0.8034,deep_itm,,zero_volume;zero_open_interest;latest_zero;stale_last;high_iv,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,4C Jul-26,call,2026-07-17,74,4.0,15.26,0.7379000000000001,10.3,12.7,11.5,0.0,0,0,2.1518,2.1518,0.41869999999999996,0.65,0.967197,0.004715,-0.006535,0.004714,0.004724,0.9165000000000001,0.08349999999999999,0.5267000000000001,2.3999999999999986,0.20869565217391292,11.5,12.7,12.1,11.5,mid,10.3,15.5,16.7,14.3,16.7,15.5,0.7379000000000001,deep_itm,,zero_volume;zero_open_interest;latest_zero;stale_last;high_iv,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,5C Jul-26,call,2026-07-17,74,5.0,15.26,0.6723,8.4,12.2,10.3,0.0,0,0,1.3065,1.3065,0.41869999999999996,0.65,0.984951,0.003916,-0.001878,0.002324,0.005002,0.9711,0.028900000000000002,0.5874,3.799999999999999,0.36893203883495135,10.3,12.2,11.25,10.3,mid,8.4,15.3,17.2,13.4,17.2,15.3,0.6723,deep_itm,,zero_volume;zero_open_interest;latest_zero;stale_last;wide_spread,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,6C Jul-26,call,2026-07-17,74,6.0,15.26,0.6068,8.4,10.3,9.35,0.0,0,0,1.247,1.247,0.41869999999999996,0.65,0.972738,0.006964,-0.003211,0.00401,0.006953,0.9518000000000001,0.0482,0.5411,1.9000000000000004,0.20320855614973266,9.35,10.3,9.825,9.35,mid,8.4,15.35,16.3,14.4,16.3,15.35,0.6068,deep_itm,,zero_volume;zero_open_interest;latest_zero;stale_last,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,7C Jul-26,call,2026-07-17,74,7.0,15.26,0.5413,7.9,9.3,8.6,0.0,0,3,1.4324000000000001,1.4324000000000001,0.41869999999999996,0.65,0.935115,0.012505,-0.007931,0.00839,0.008783,0.8865000000000001,0.11349999999999999,0.5147999999999999,1.4000000000000004,0.16279069767441864,8.6,9.3,8.95,8.6,mid,7.9,15.6,16.3,14.9,16.3,15.6,0.5413,deep_itm,,zero_volume;latest_zero;stale_last,usable,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,8C Jul-26,call,2026-07-17,74,8.0,15.26,0.4758,6.8,8.3,7.55,0.0,0,43,1.1671,1.1671,0.41869999999999996,0.65,0.930218,0.016261,-0.006895,0.008897,0.010266,0.8905,0.10949999999999999,0.5232,1.5000000000000009,0.19867549668874185,7.55,8.3,7.925,7.55,mid,6.8,15.55,16.3,14.8,16.3,15.55,0.4758,deep_itm,,zero_volume;latest_zero;stale_last,usable,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,9C Jul-26,call,2026-07-17,74,9.0,15.26,0.4102,4.7,8.3,6.5,4.1,0,284,0.9359000000000001,0.9359000000000001,0.41869999999999996,0.65,0.92652,0.0211,-0.005807,0.009268,0.011882,0.8948999999999999,0.1051,0.601,3.6000000000000005,0.5538461538461539,6.5,8.3,7.4,6.5,mid,4.7,15.5,17.3,13.7,17.3,15.5,0.4102,deep_itm,,zero_volume;very_wide_spread,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,10C Jul-26,call,2026-07-17,74,10.0,15.26,0.3447,5.1,6.6,5.85,5.3,0,391,1.0573000000000001,1.0573000000000001,0.41869999999999996,0.65,0.868125,0.028943,-0.010248,0.014405,0.012608,0.8127,0.1873,0.5088,1.5,0.25641025641025644,5.85,6.6,6.225,5.85,mid,5.1,15.85,16.6,15.1,16.6,15.85,0.3447,deep_itm,,zero_volume;wide_spread,thin,True
