ticker,source,trust,snapshot_date,downloaded_at,contract_symbol,contract_label,option_type,expiration,dte,strike,underlying_price,moneyness,bid,ask,mid,last,volume,open_interest,implied_volatility,iv,iv_rank,iv_percentile,delta,gamma,theta,vega,rho,itm_probability,otm_probability,profit_probability,spread,spread_pct_of_mid,entry_premium_mid,entry_premium_ask,entry_premium_realistic,entry_premium_selected,entry_price_mode,exit_premium_conservative,breakeven_mid,breakeven_ask,barchart_be_bid,barchart_be_ask,barchart_be_mid,moneyness_decimal,moneyness_bucket,links,quality_flags,liquidity_bucket,model_eligible
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,15C Aug-26,call,2026-08-21,109,15.0,15.26,0.017,0.4,3.6,2.0,0.0,0,0,0.5639,0.5639,0.41869999999999996,0.65,0.584323,0.082263,-0.008474,0.032248,0.020066,0.5222,0.4778,0.4882,3.2,1.6,2.0,3.6,2.8,2.0,mid,0.4,17.0,18.6,15.4,18.6,17.0,0.017,atm,,zero_volume;zero_open_interest;latest_zero;stale_last;very_wide_spread,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,16C Aug-26,call,2026-08-21,109,16.0,15.26,-0.048499999999999995,0.0,3.4,1.7,0.0,0,0,0.6002000000000001,0.6002000000000001,0.41869999999999996,0.65,0.509318,0.07918,-0.009216,0.033038,0.017665,0.4426,0.5574,0.4426,3.4,2.0,1.7,3.4,2.55,1.7,mid,0.0,17.7,19.4,16.0,19.4,17.7,-0.048499999999999995,atm,,zero_volume;zero_open_interest;latest_zero;stale_last;very_wide_spread,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,17C Aug-26,call,2026-08-21,109,17.0,15.26,-0.114,0.0,3.0,1.5,0.0,0,0,0.6445000000000001,0.6445000000000001,0.41869999999999996,0.65,0.449591,0.073251,-0.009808,0.032819,0.015629,0.3796,0.6204,0.3796,3.0,2.0,1.5,3.0,2.25,1.5,mid,0.0,18.5,20.0,17.0,20.0,18.5,-0.114,otm,,zero_volume;zero_open_interest;latest_zero;stale_last;very_wide_spread,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,18C Aug-26,call,2026-08-21,109,18.0,15.26,-0.1796,0.0,2.75,1.38,0.0,0,0,0.6951999999999999,0.6951999999999999,0.41869999999999996,0.65,0.404722,0.066538,-0.010348,0.032159,0.01398,0.3319,0.6681,0.3319,2.75,1.992753623188406,1.38,2.75,2.0675,1.38,mid,0.0,19.38,20.75,18.0,20.75,19.38,-0.1796,otm,,zero_volume;zero_open_interest;latest_zero;stale_last;very_wide_spread,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,19C Aug-26,call,2026-08-21,109,19.0,15.26,-0.2451,0.0,2.6,1.3,0.0,0,0,0.7495,0.7495,0.41869999999999996,0.65,0.371774,0.060253,-0.010877,0.031397,0.012704,0.2963,0.7037,0.2963,2.6,2.0,1.3,2.6,1.9500000000000002,1.3,mid,0.0,20.3,21.6,19.0,21.6,20.3,-0.2451,otm,,zero_volume;zero_open_interest;latest_zero;stale_last;very_wide_spread,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,20C Aug-26,call,2026-08-21,109,20.0,15.26,-0.3106,0.0,2.5,1.25,0.0,0,0,0.8029000000000001,0.8029000000000001,0.41869999999999996,0.65,0.346686,0.054921,-0.011363,0.030656,0.011726,0.2688,0.7312000000000001,0.2688,2.5,2.0,1.25,2.5,1.875,1.25,mid,0.0,21.25,22.5,20.0,22.5,21.25,-0.3106,deep_otm,,zero_volume;zero_open_interest;latest_zero;stale_last;very_wide_spread,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,21C Aug-26,call,2026-08-21,109,21.0,15.26,-0.3761,0.0,2.4,1.2,0.0,0,0,0.8492000000000001,0.8492000000000001,0.41869999999999996,0.65,0.32512,0.050654,-0.011714,0.029906,0.010883,0.2457,0.7543000000000001,0.2457,2.4,2.0,1.2,2.4,1.7999999999999998,1.2,mid,0.0,22.2,23.4,21.0,23.4,22.2,-0.3761,deep_otm,,zero_volume;zero_open_interest;latest_zero;stale_last;very_wide_spread,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,22C Aug-26,call,2026-08-21,109,22.0,15.26,-0.44170000000000004,0.0,2.35,1.18,0.0,0,0,0.8981,0.8981,0.41869999999999996,0.65,0.309368,0.047166,-0.012125,0.029288,0.010278,0.228,0.772,0.228,2.35,1.9915254237288138,1.18,2.35,1.7675,1.18,mid,0.0,23.18,24.35,22.0,24.35,23.18,-0.44170000000000004,deep_otm,,zero_volume;zero_open_interest;latest_zero;stale_last;very_wide_spread,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,23C Aug-26,call,2026-08-21,109,23.0,15.26,-0.5072,0.0,2.3,1.15,0.0,0,0,0.9423999999999999,0.9423999999999999,0.41869999999999996,0.65,0.295616,0.043804,-0.012462,0.028702,0.009714,0.21280000000000002,0.7872,0.21280000000000002,2.3,2.0,1.15,2.3,1.7249999999999999,1.15,mid,0.0,24.15,25.3,23.0,25.3,24.15,-0.5072,deep_otm,,zero_volume;zero_open_interest;latest_zero;stale_last;very_wide_spread,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,24C Aug-26,call,2026-08-21,109,24.0,15.26,-0.5727,0.0,2.25,1.13,0.0,0,0,0.9826999999999999,0.9826999999999999,0.41869999999999996,0.65,0.283388,0.041187,-0.012736,0.028142,0.009227,0.1996,0.8004000000000001,0.1996,2.25,1.9911504424778763,1.13,2.25,1.6925,1.13,mid,0.0,25.13,26.25,24.0,26.25,25.13,-0.5727,deep_otm,,zero_volume;zero_open_interest;latest_zero;stale_last;very_wide_spread,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,25C Aug-26,call,2026-08-21,109,25.0,15.26,-0.6383,0.0,2.25,1.13,0.0,0,0,1.0285,1.0285,0.41869999999999996,0.65,0.275734,0.038834,-0.013149,0.027772,0.0089,0.18989999999999999,0.8101,0.18989999999999999,2.25,1.9911504424778763,1.13,2.25,1.6925,1.13,mid,0.0,26.13,27.25,25.0,27.25,26.13,-0.6383,deep_otm,,zero_volume;zero_open_interest;latest_zero;stale_last;very_wide_spread,stale_or_wide,True
