ticker,source,trust,snapshot_date,downloaded_at,contract_symbol,contract_label,option_type,expiration,dte,strike,underlying_price,moneyness,bid,ask,mid,last,volume,open_interest,implied_volatility,iv,iv_rank,iv_percentile,delta,gamma,theta,vega,rho,itm_probability,otm_probability,profit_probability,spread,spread_pct_of_mid,entry_premium_mid,entry_premium_ask,entry_premium_realistic,entry_premium_selected,entry_price_mode,exit_premium_conservative,breakeven_mid,breakeven_ask,barchart_be_bid,barchart_be_ask,barchart_be_mid,moneyness_decimal,moneyness_bucket,links,quality_flags,liquidity_bucket,model_eligible
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,1C Jan-27,call,2027-01-15,256,1.0,15.26,0.9345,13.2,15.6,14.4,0.0,0,0,2.4339,2.4339,0.41869999999999996,0.65,0.986895,0.000794,-0.001078,0.002869,0.002588,0.9094,0.0906,0.5141,2.4000000000000004,0.16666666666666669,14.4,15.6,15.0,14.4,mid,13.2,15.4,16.6,14.2,16.6,15.4,0.9345,deep_itm,,zero_volume;zero_open_interest;latest_zero;stale_last;high_iv,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,2C Jan-27,call,2027-01-15,256,2.0,15.26,0.8689,12.1,14.7,13.4,0.0,0,0,1.7038,1.7038,0.41869999999999996,0.65,0.980575,0.001788,-0.001268,0.004595,0.005777,0.9228000000000001,0.07719999999999999,0.5221,2.5999999999999996,0.19402985074626863,13.4,14.7,14.05,13.4,mid,12.1,15.4,16.7,14.1,16.7,15.4,0.8689,deep_itm,,zero_volume;zero_open_interest;latest_zero;stale_last,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,3C Jan-27,call,2027-01-15,256,3.0,15.26,0.8034,11.1,13.7,12.4,0.0,0,0,1.3354,1.3354,0.41869999999999996,0.65,0.975084,0.002939,-0.001321,0.005969,0.009095,0.9270999999999999,0.0729,0.5282,2.5999999999999996,0.20967741935483866,12.4,13.7,13.05,12.4,mid,11.1,15.4,16.7,14.1,16.7,15.4,0.8034,deep_itm,,zero_volume;zero_open_interest;latest_zero;stale_last,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,4C Jan-27,call,2027-01-15,256,4.0,15.26,0.7379000000000001,10.1,12.7,11.4,0.0,0,328,1.0906,1.0906,0.41869999999999996,0.65,0.969612,0.004337,-0.001329,0.007246,0.012938,0.9287000000000001,0.0713,0.5345,2.5999999999999996,0.22807017543859645,11.4,12.7,12.05,11.4,mid,10.1,15.4,16.7,14.1,16.7,15.4,0.7379000000000001,deep_itm,,zero_volume;latest_zero;stale_last,usable,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,5C Jan-27,call,2027-01-15,256,5.0,15.26,0.6723,9.7,11.6,10.65,10.62,0,8966,1.1417,1.1417,0.41869999999999996,0.65,0.944788,0.006986,-0.002555,0.01257,0.017781,0.8784000000000001,0.1216,0.5156000000000001,1.9000000000000004,0.17840375586854462,10.65,11.6,11.125,10.65,mid,9.7,15.65,16.6,14.7,16.6,15.65,0.6723,deep_itm,,zero_volume,usable,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,7C Jan-27,call,2027-01-15,256,7.0,15.26,0.5413,8.2,8.7,8.45,8.6,0,2267,0.6820999999999999,0.6820999999999999,0.41869999999999996,0.65,0.945798,0.011493,-0.001521,0.012353,0.026588,0.9138,0.0862,0.5028,0.5,0.0591715976331361,8.45,8.7,8.575,8.45,mid,8.2,15.45,15.7,15.2,15.7,15.45,0.5413,deep_itm,,zero_volume,liquid,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,8C Jan-27,call,2027-01-15,256,8.0,15.26,0.4758,6.4,8.4,7.4,0.0,0,0,0.5337,0.5337,0.41869999999999996,0.65,0.947496,0.014196,-0.00118,0.011969,0.031121,0.9257,0.07429999999999999,0.5516,2.0,0.27027027027027023,7.4,8.4,7.9,7.4,mid,6.4,15.4,16.4,14.4,16.4,15.4,0.4758,deep_itm,,zero_volume;zero_open_interest;latest_zero;stale_last;wide_spread,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,9C Jan-27,call,2027-01-15,256,9.0,15.26,0.4102,5.7,8.3,7.0,0.0,0,0,0.7384999999999999,0.7384999999999999,0.41869999999999996,0.65,0.871656,0.021134,-0.003528,0.025178,0.034758,0.8034,0.1966,0.5241,2.6000000000000005,0.3714285714285715,7.0,8.3,7.65,7.0,mid,5.7,16.0,17.3,14.7,17.3,16.0,0.4102,deep_itm,,zero_volume;zero_open_interest;latest_zero;stale_last;wide_spread,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,10C Jan-27,call,2027-01-15,256,10.0,15.26,0.3447,5.0,6.1,5.55,6.18,0,2593,0.44310000000000005,0.44310000000000005,0.41869999999999996,0.65,0.901223,0.028492,-0.001774,0.020389,0.045236,0.8726,0.1274,0.5185,1.0999999999999996,0.19819819819819814,5.55,6.1,5.824999999999999,5.55,mid,5.0,15.55,16.1,15.0,16.1,15.55,0.3447,deep_itm,,zero_volume,usable,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,11C Jan-27,call,2027-01-15,256,11.0,15.26,0.2792,3.8,6.4,5.1,0.0,0,0,0.5547,0.5547,0.41869999999999996,0.65,0.820764,0.035458,-0.003461,0.031929,0.043737,0.7595000000000001,0.24050000000000002,0.5263,2.6000000000000005,0.5098039215686276,5.1,6.4,5.75,5.1,mid,3.8,16.1,17.4,14.8,17.4,16.1,0.2792,itm,,zero_volume;zero_open_interest;latest_zero;stale_last;very_wide_spread,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,12C Jan-27,call,2027-01-15,256,12.0,15.26,0.21359999999999998,4.0,4.4,4.2,4.22,83,4667,0.48979999999999996,0.48979999999999996,0.41869999999999996,0.65,0.781885,0.045448,-0.003515,0.03622,0.047369,0.721,0.27899999999999997,0.45409999999999995,0.40000000000000036,0.09523809523809532,4.2,4.4,4.300000000000001,4.2,mid,4.0,16.2,16.4,16.0,16.4,16.2,0.21359999999999998,itm,,,liquid,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,13C Jan-27,call,2027-01-15,256,13.0,15.26,0.1481,2.75,4.3,3.53,3.9,0,4,0.46840000000000004,0.46840000000000004,0.41869999999999996,0.65,0.725186,0.054167,-0.003859,0.041336,0.048072,0.6586,0.3414,0.4679,1.5499999999999998,0.43909348441926344,3.53,4.3,3.9174999999999995,3.53,mid,2.75,16.53,17.3,15.75,17.3,16.53,0.1481,itm,,zero_volume;wide_spread,thin,True
