ticker,underlying_conid,fetched_at,market_data_mode,exchange,trading_class,multiplier,expiry_date,strike,option_type,currency,source,warnings,missing_fields
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-05-15,1.0,call,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-05-15,1.0,put,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-05-15,2.0,call,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-05-15,2.0,put,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-05-15,3.0,call,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-05-15,3.0,put,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-05-15,4.0,call,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-05-15,4.0,put,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-05-15,5.0,call,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-05-15,5.0,put,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-05-15,6.0,call,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-05-15,6.0,put,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-05-15,7.0,call,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-05-15,7.0,put,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-05-15,8.0,call,USD,ibkr,[],[]
GPRE,38333348,2026-04-19T17:13:36Z,delayed,SMART,GPRE,100,2026-05-15,8.0,put,USD,ibkr,[],[]
